ID_VIA_ORIGINE,DESCRIZIONE_ESTESA
490090730,"VIA CESARE BATTISTI"
490100016,"VIA CESARE BECCARIA"
490096805,"VIA CESARE TARRINI"
490091730,"VIA CHIELLINI"
490091785,"VIA CIMABUE"
490094620,"VIA CIRO MENOTTI"
490091900,"VIA CLAUDIO COGORANO"
490091950,"VIA COLLINET"
490091110,"VIA CONTE LUIGI CADORNA"
490092440,"VIA CORRADO DODOLI"
490092110,"VIA CORSICA"
490092300,"VIA COSIMO DEL FANTE"
490095290,"VIA COSIMO PALAMIDESSI"
490092145,"VIA COSTANZA"
490092540,"VIA COSTANZO EBAT"
490092180,"VIA CRIMEA"
490092220,"VIA CURTATONE E MONTANARA"
490092245,"VIA DANIMARCA"
490091470,"VIA DARIO CASSUTO"
490095070,"VIA DARIO NICCODEMI"
490093953,"VIA DE L'ONGRILLI"
490093740,"VIA DE LARDEREL"
490090048,"VIA DEGLI ACQUAIOLI"
490090050,"VIA DEGLI ACQUEDOTTI"
490090118,"VIA DEGLI AGRICOLTORI"
490090120,"VIA DEGLI ALBATRI"
490090210,"VIA DEGLI AMMAZZATOI"
490090310,"VIA DEGLI APOSTOLI"
490090320,"VIA DEGLI ARCHI"
490097660,"VIA DEGLI ARROTINI"
490090380,"VIA DEGLI ASILI"
490092625,"VIA DEGLI ETRUSCHI"
490095150,"VIA DEGLI OLEANDRI"
490095153,"VIA DEGLI OLEASTRI"
490096482,"VIA DEGLI SCALPELLINI"
490096490,"VIA DEGLI SCARRONZONI"
490090460,"VIA DEI BAGNETTI"
490090470,"VIA DEI BAGNI"
490091000,"VIA DEI BOTTINI DELL'OLIO"
490091248,"VIA DEI CANALI"
490091360,"VIA DEI CARABINIERI"
490091580,"VIA DEI CAVALIERI"
490091795,"VIA DEI CIMITERI"
490091815,"VIA DEI CIPRESSI"
490091955,"VIA DEI COLOMBACCI"
490092010,"VIA DEI CONDOTTI VECCHI"
490092062,"VIA DEI CORDAI"
490092635,"VIA DEI FABBRI"
490092665,"VIA DEI FALCHI"
490092680,"VIA DEI FANCIULLI"
490092810,"VIA DEI FLORIDI"
490092815,"VIA DEI FONDACCI"
490092980,"VIA DEI FULGIDI"
490092990,"VIA DEI FUNAIOLI"
490093190,"VIA DEI GERANI"
490093280,"VIA DEI GINEPRI"
490093500,"VIA DEI GOWER"
490093730,"VIA DEI LANZI"
490094070,"VIA DEI MACCHIAIOLI"
490094495,"VIA DEI MATERASSAI"
490094950,"VIA DEI MULINACCI"
490094960,"VIA DEI MULINI"
490095045,"VIA DEI NAVICELLI"
490095480,"VIA DEI PELAGHI"
490095520,"VIA DEI PENSIERI"
490095550,"VIA DEI PESCATORI"
490095795,"VIA DEI PODERI"
490096035,"VIA DEI RAMAI"
490097680,"VIA DEI SALICI"
490093435,"VIA DEI SETTE SANTI"
490097665,"VIA DEI SOFFIATORI DEL VETRO"
490097010,"VIA DEI TRANQUILLI"
490097015,"VIA DEI TRASPORTATORI"
490097265,"VIA DEI VECCHI ORTI"
490090700,"VIA DEL BASTIONE"
490090980,"VIA DEL BOSCO"
490091370,"VIA DEL CARDINALE"
490091450,"VIA DEL CASINO"
490091480,"VIA DEL CASTELLACCIO"
490091520,"VIA DEL CASTELLO"
490091650,"VIA DEL CEDRO"
490091675,"VIA DEL CERRO"
490091780,"VIA DEL CILIEGIO"
490091910,"VIA DEL COLLEGIO"
490092040,"VIA DEL CORALLO"
490092055,"VIA DEL CORBOLONE"
490092200,"VIA DEL CROCINO"
490092650,"VIA DEL FAGIANO"
490092710,"VIA DEL FELCIAIO"
490092845,"VIA DEL FORNO"
490092850,"VIA DEL FORTE DEI CAVALLEGGERI"
490092860,"VIA DEL FORTE SAN PIETRO"
490093000,"VIA DEL GABBIANO"
490093130,"VIA DEL GAZOMETRO"
490093160,"VIA DEL GELSOMINO"
490093250,"VIA DEL GIAGGIOLO"
490093270,"VIA DEL GIGLIO"
490093410,"VIA DEL GLICINE"
490093490,"VIA DEL GOVERNATORE"
490093780,"VIA DEL LAVORO"
490093850,"VIA DEL LEONE"
490093910,"VIA DEL LIMONCINO"
490093915,"VIA DEL LIMONE"
